RIC;ISIN;Company Common Name;TRBC Economic Sector Name;Country of Issuer
UMDk.DE;DE000A2YN702;UMT United Mobility Technology AG;Technology;Germany
DKG.DE;DE000A14KRD3;Deutsche Konsum REIT AG;Real Estate;Germany
FC9.DE;DE000A1YC913;FCR Immobilien AG;Real Estate;Germany
APPHG.DE;DE000A3CMGM5;Apontis Pharma AG;Healthcare;Germany
SF3.DE;DE000A1TNU68;STS Group AG;Consumer Cyclicals;Germany
PGNG.DE;DE0005558696;paragon GmbH & Co KgaA;Consumer Cyclicals;Germany
ASLG.DE;DE000A2JNWZ9;Akasol AG;Industrials;Germany
BIOG.DE;DE0005227201;Biotest AG;Healthcare;Germany
TIOA.O;KYG8T10C1061;Tio Tech A;Financials;Germany
WDIG.F;DE0007472060;Wirecard AG;Industrials;Germany
ABAG.F;DE0006209901;ALBA SE;Industrials;Germany
CEKG.DE;DE0005407407;CeoTronics Audio Video Data Communication AG;Technology;Germany
PSGG.DE;DE000A2P4LJ5;PharmaSGP Holding SE;Consumer Cyclicals;Germany
DARG.DE;DE000A0V9LA7;Datron AG;Industrials;Germany
EQSn.DE;DE0005494165;EQS Group AG;Technology;Germany
B8FGn.DE;DE0006046113;Biofrontera AG;Healthcare;Germany
1846.HK;KYG3224D1088;Euroeyes International Eye Clinic Ltd;Healthcare;Germany
DFV.DE;DE000A2NBVD5;DFV Deutsche Familienversicherung AG;Financials;Germany
C3RY.F;DE000A3CRRN9;Cherry AG;Technology;Germany
RHKG.DE;DE0007042301;Rhoen Klinikum AG;Healthcare;Germany
NTGG.DE;DE000A0KPPR7;Nabaltec AG;Basic Materials;Germany
HG1G.F;DE0005297204;Homag Group AG;Industrials;Germany
T5OG.DE;DE000A0KFRJ1;CytoTools AG;Healthcare;Germany
V3SG.DE;DE000A0KEXC7;Vectron Systems AG;Technology;Germany
AVES.DE;DE000A168114;Aves One AG;Financials;Germany
MDNG.DE;DE0006605009;Medion AG;Technology;Germany
B7EG.DE;DE000A0JM2M1;Blue Cap AG;Financials;Germany
E4CG.DE;DE0005854343;Ecotel Communication AG;Technology;Germany
BLMG.DE;DE0005088108;Baader Bank AG;Financials;Germany
NF4.DE;DE000A1MME74;Netfonds AG;Financials;Germany
TSSG.F;DE0005405104;InnoTec TSS AG;Consumer Cyclicals;Germany
EBKG.DE;DE0005220008;EnBW Energie Baden Wuerttemberg AG;Utilities;Germany
BEZ.DE;DE0005201602;Berentzen Gruppe AG;Consumer Non-Cyclicals;Germany
A7AGn.DE;DE0001218063;Finlab AG;Financials;Germany
HPBGn.DE;DE000A0L1NN5;Heliad Equity Partners GmbH & Co KGaA;Financials;Germany
SMWN.DE;DE000A1RFMZ1;SM Wirtschaftsberatungs AG;Real Estate;Germany
LOUn.H;DE000A3E5DA0;DEAG Deutsche Entertainment AG;Consumer Cyclicals;Germany
OSPGk.DE;DE000A0BVU28;USU Software AG;Technology;Germany
BIJG.DE;DE0005229504;Bijou Brigitte modische Accessoires AG;Consumer Cyclicals;Germany
SD1n.DE;DE000A1YDAZ7;Clean Logistics SE;Consumer Cyclicals;Germany
MPCKk.DE;DE000A1TNWJ4;MPC Muenchmeyer Petersen Capital AG;Financials;Germany
APME.DE;NL0000238145;Ad Pepper Media International NV;Consumer Cyclicals;Germany
DLXG.DE;DE000A0MZ4B0;Delignit AG;Basic Materials;Germany
HACGn.DE;DE000A1A6V48;KPS AG;Technology;Germany
MVVGn.DE;DE000A0H52F5;Mvv Energie AG;Utilities;Germany
PBYG.DE;DE0006972508;Publity AG;Financials;Germany
NUVG.DE;DE000A2E4MK4;Noratis AG;Real Estate;Germany
4DSG.DE;DE0007830572;Daldrup & Soehne AG;Energy;Germany
DAMG.DE;DE0005498901;DATA MODUL Produktion und Vertrieb von elektronischen Systemen AG;Technology;Germany
PAGn.DE;DE000A2LQ850;PREOS Global Office Real Estate & Technology AG;Real Estate;Germany
M3Bk.DE;DE000A254W52;Mic AG;Financials;Germany
GILG.DE;DE0005878003;DMG Mori AG;Industrials;Germany
MUBG.DE;DE0006627201;Muehlbauer Holding AG;Industrials;Germany
2INVn.DE;DE000A3H3L44;2Invest AG;Financials;Germany
ALNOX.PA;NL0012044762;NOXXON Pharma NV;Healthcare;Germany
VBX.DE;DE000A2E4LE9;Voltabox AG;Industrials;Germany
JB7.DE;DE000A2G9LL1;Deutsche Industrie REIT-AG;Real Estate;Germany
CYR.DE;DE000A2E4SV8;Cyan AG;Technology;Germany
MCEG.DE;DE0006618309;MEDIQON Group AG;Financials;Germany
PWOG.DE;DE0006968001;Progress Werk Oberkirch AG;Consumer Cyclicals;Germany
GMMG.DE;DE0005895403;Grammer AG;Consumer Cyclicals;Germany
GMEG.DE;DE0005495626;Geratherm Medical AG;Healthcare;Germany
UZUG.DE;DE0007551509;Uzin Utz AG;Industrials;Germany
UDCG.DE;DE000A11QLU3;UniDevice AG;Technology;Germany
B8AG.DE;DE0002605557;BAVARIA Industries Group AG;Financials;Germany
WFTG.F;DE0005181606;Weng Fine Art AG;Consumer Cyclicals;Germany
EDLG.DE;DE0005649503;Edel SE & Co KgaA;Consumer Cyclicals;Germany
HP3An.DE;DE000A3E5E55;Ringmetall SE;Industrials;Germany
P4OG.DE;DE000A0HGQS8;Plan Optik AG;Technology;Germany
TGTG.DE;DE0005118806;11 88 0 Solutions AG;Industrials;Germany
SISG.DE;DE0007201907;First Sensor AG;Technology;Germany
PZSG.DE;DE0006942808;Scherzer & Co AG;Financials;Germany
BKHTn.DE;DE000A2GSU42;Brockhaus Technologies AG;Financials;Germany
SURG.DE;DE0005176903;Surteco Group SE;Consumer Cyclicals;Germany
SYTG.DE;DE0005178008;Softing AG;Technology;Germany
VSCk.DE;DE000A3E5C40;4Sc AG;Healthcare;Germany
MA10.DE;DE000A3H2135;Binect AG;Technology;Germany
MBQGn.DE;DE0005218309;Mobotix AG;Technology;Germany
FEVG.DE;DE0005774103;Fortec Elektronik AG;Technology;Germany
C1VG.DE;DE0006204589;mVISE AG;Technology;Germany
SHVA.DE;DE000A168205;Shareholder Value Beteiligungen AG;Financials;Germany
BTCGk.DE;DE000A0V9L94;Eyemaxx Real Estate AG;Real Estate;Germany
NIIGn.DE;DE000A2G8332;Niiio Finance Group AG;Technology;Germany
MXHNn.DE;DE000A2DA588;MAX Automation SE;Industrials;Germany
CPXG.DE;DE000A2G9M17;Capsensixx AG;Financials;Germany
SIM0.F;DE000A3E5CP0;Simona AG;Basic Materials;Germany
ACWNn.DE;DE000A1TNNN5;AS Creation Tapeten AG;Consumer Cyclicals;Germany
MWBG.DE;DE0006656101;mwb Fairtrade Wertpapierhandelsbank AG;Financials;Germany
GXP1k.F;DE000A2E4L00;GxP German Properties AG;Real Estate;Germany
PALG.DE;DE000A12UPJ7;Pantaflix AG;Consumer Cyclicals;Germany
CTNGk.F;DE000A1TNMM9;Centrotherm International AG;Energy;Germany
DREGa.F;DE0008055021;Deutsche Real Estate AG;Real Estate;Germany
CSQG.DE;DE000A2LQUA5;Creditshelf AG;Financials;Germany
DGRG.DE;DE0005533400;Deutsche Grundstuecksauktionen AG;Real Estate;Germany
FPHG.DE;DE000FPH9000;Francotyp Postalia Holding AG;Industrials;Germany
